HEADER
VTF File Version,1.1
VTF File Type,0
PID,2081276
Generated on,2026-06-29 22:49:25
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2081279

STRUCTURE
Group_Start,User and Internal Events
Dynamic_Row,1,General,User Events from APIs and Internally Generated Events
Group_End,User and Internal Events

MAPPING
775,0:13:94901635253904
778,0:13:94901635254688
776,0:13:94901635420128
1117,0:13:94901635435648
3955,0:13:94901635629008
1122,0:13:94901635744768
2382,0:13:94901635801696
1119,0:13:94901636022096
3174,0:13:94901636091856
2046,0:13:94901636123744
2106,0:13:94901636183968
1766,0:13:94901636213984
3729,0:13:94901636308944
729,0:13:94901636519920
3921,0:13:94901636804560
583,0:13:94901636820960
3049,0:13:94901636886480
449,0:13:94901636943840
1123,0:13:94901637001184
505,0:13:94901637119968
867,0:13:94901637234128
2333,0:13:94901637525232
1120,0:13:94901637565216
478,0:13:94901637681120
1127,0:13:94901637767136
2899,0:13:94901637894096
1124,0:13:94901638026400
863,0:13:94901638078432
730,0:13:94901638237968
1125,0:13:94901638338048
3706,0:13:94901638356944
1126,0:13:94901638369248
291,0:13:94901638475744
4163,0:13:94901638520784
2242,0:13:94901638527440
3251,0:13:94901638565840
2873,0:13:94901638672336
828,0:13:94901638900992
524,0:13:94901638909920
3541,0:13:94901639258064
372,0:13:94901639307232
877,0:13:94901639386960
608,0:13:94901639831520
2015,0:13:94901640031136
802,0:13:94901640256640
2273,0:13:94901640342016
507,0:13:94901640359904
2140,0:13:94901640441680
1957,0:13:94901640990688
1130,0:13:94901640998080
2243,0:13:94901641358496
1128,0:13:94901641436176
2302,0:13:94901641641952
1131,0:13:94901641920480
1129,0:13:94901642088416
4189,0:13:94901642366928
1132,0:13:94901642437536
4473,0:13:94901642543056
765,0:13:94901642669152
1134,0:13:94901642899424
1976,0:13:94901643028448
1748,0:13:94901643113632
2141,0:13:94901643155808
3018,0:13:94901643198416
1135,0:13:94901643296592
2177,0:13:94901643501536
3152,0:13:94901643530192
347,0:13:94901643575264
3653,0:13:94901643673552
4761,0:13:94901643931600
4436,0:13:94901643935696
789,0:13:94901644016256
1137,0:13:94901644086832
1138,0:13:94901644103648
739,0:13:94901644115936
2794,0:13:94901644177360
1139,0:13:94901644570592
1140,0:13:94901644890080
582,0:13:94901644894176
364,0:13:94901645090784
3913,0:13:94901645361104
711,0:13:94901645433104
4367,0:13:94901645467600
3367,0:13:94901646024656
858,0:13:94901646327776
530,0:13:94901646491616
1145,0:13:94901646521744
4030,0:13:94901646589904
1144,0:13:94901646852064
791,0:13:94901647048672
265,0:13:94901647052768
4750,0:13:94901647073232
2298,0:13:94901647097824
2308,0:13:94901647192944
1806,0:13:94901647225984
2017,0:13:94901647287184
662,0:13:94901647343488
357,0:13:94901647556128
2701,0:13:94901647675344
1817,0:13:94901647766400
834,0:13:94901647929312
1147,0:13:94901647934752
1148,0:13:94901648290896
2951,0:13:94901648326608
4267,0:13:94901648650192
1149,0:13:94901648672512
2495,0:13:94901648687056
781,0:13:94901648805856
859,0:13:94901648821008
1807,0:13:94901649006560
3703,0:13:94901649043408
2205,0:13:94901649186512
1982,0:13:94901649444784
2048,0:13:94901649588192
1150,0:13:94901649637344
2019,0:13:94901649788896
4271,0:13:94901649874896
3449,0:13:94901650202576
2444,0:13:94901650368064
2020,0:13:94901650480768
1157,0:13:94901650517504
1787,0:13:94901650588976
1152,0:13:94901650665440
3436,0:13:94901650825168
1153,0:13:94901650861984
1156,0:13:94901651581344
1810,0:13:94901651724272
2077,0:13:94901651834800
2178,0:13:94901651846112
452,0:13:94901651902432
1951,0:13:94901652149472
4277,0:13:94901652283344
2049,0:13:94901652447200
2496,0:13:94901652713424
3681,0:13:94901653090256
2809,0:13:94901653172176
1163,0:13:94901653381088
1167,0:13:94901653393376
465,0:13:94901653495776
1878,0:13:94901653520352
2773,0:13:94901653594064
538,0:13:94901653659616
1891,0:13:94901653670656
466,0:13:94901653712864
1164,0:13:94901653730528
1162,0:13:94901653788016
1165,0:13:94901653788416
756,0:13:94901653839328
1733,0:13:94901653888992
860,0:13:94901654019728
845,0:13:94901654276592
