Iteration,HW_Latency_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms
402,0.375588,0.077636,0.259946,0.038006
403,0.325563,0.079016,0.186224,0.060323
404,0.32188,0.080102,0.180791,0.060987
405,0.430132,0.121994,0.247304,0.060834
406,0.441907,0.096324,0.2855,0.060083
407,0.405098,0.121764,0.222057,0.061277
408,0.394352,0.083622,0.248787,0.061943
409,0.475035,0.105732,0.308626,0.060677
410,0.38076,0.107446,0.211504,0.06181
411,0.468398,0.110468,0.294777,0.063153
412,0.613437,0.107881,0.44335,0.062206
413,0.408434,0.110683,0.235424,0.062327
414,0.460674,0.102367,0.29546,0.062847
415,0.375809,0.106512,0.20946,0.059837
416,0.314549,0.102636,0.150037,0.061876
417,0.374887,0.122579,0.191488,0.06082
418,0.53,0.10595,0.361923,0.062127
419,0.731404,0.107997,0.56098,0.062427
420,0.546775,0.113056,0.370469,0.06325
421,0.328667,0.098811,0.157516,0.07234
422,0.427551,0.105837,0.258794,0.06292
423,0.502697,0.102871,0.337643,0.062183
424,0.474669,0.104978,0.305947,0.063744
425,0.447197,0.10152,0.285151,0.060526
426,0.394872,0.103035,0.230303,0.061534
427,0.535302,0.110281,0.363514,0.061507
428,0.439837,0.129321,0.248506,0.06201
429,0.361667,0.080626,0.221504,0.059537
430,0.342909,0.112769,0.168367,0.061773
431,0.373704,0.110364,0.20156,0.06178
432,0.370918,0.107708,0.201073,0.062137
433,0.359657,0.122554,0.174626,0.062477
434,0.318552,0.105643,0.149212,0.063697
435,0.360949,0.105131,0.192708,0.06311
436,0.387026,0.105549,0.218107,0.06337
437,0.367509,0.105775,0.20194,0.059794
438,0.679745,0.108991,0.508697,0.062057
439,0.382449,0.10424,0.217173,0.061036
440,0.37316,0.088733,0.22265,0.061777
441,0.506025,0.123607,0.320391,0.062027
442,0.459876,0.113326,0.28791,0.05864
443,0.364043,0.113403,0.187853,0.062787
444,0.468154,0.110267,0.295814,0.062073
445,0.800123,0.107464,0.622443,0.070216
446,0.332537,0.114467,0.15476,0.06331
447,0.685064,0.10459,0.518804,0.06167
448,0.430368,0.114597,0.253057,0.062714
449,0.401187,0.10401,0.235067,0.06211
450,0.339673,0.108673,0.17044,0.06056
451,0.459817,0.110607,0.28551,0.0637
452,0.449091,0.11664,0.271067,0.061384
453,0.519681,0.107377,0.349441,0.062863
454,0.499177,0.10821,0.327007,0.06396
455,0.506118,0.131003,0.311941,0.063174
456,0.427455,0.112876,0.251233,0.063346
457,0.437055,0.106601,0.267744,0.06271
458,0.60995,0.106416,0.440624,0.06291
459,0.414181,0.107703,0.243004,0.063474
460,0.391562,0.113297,0.216761,0.061504
461,0.502743,0.108273,0.33359,0.06088
462,0.383447,0.10749,0.21281,0.063147
463,0.3454,0.11448,0.166647,0.064273
464,0.36935,0.09428,0.213217,0.061853
465,0.412188,0.108387,0.241924,0.061877
466,0.474513,0.085374,0.318603,0.070536
467,0.422907,0.102336,0.258041,0.06253
468,0.441661,0.113357,0.267187,0.061117
469,0.39993,0.110533,0.226827,0.06257
470,0.54322,0.10558,0.37383,0.06381
471,0.427428,0.105874,0.258857,0.062697
472,0.463747,0.11364,0.28743,0.062677
473,0.476107,0.10805,0.302801,0.065256
474,0.480921,0.109464,0.309204,0.062253
475,0.390056,0.108716,0.216793,0.064547
476,0.455239,0.113726,0.27925,0.062263
477,0.998687,0.109183,0.824967,0.064537
478,0.384374,0.108127,0.211107,0.06514
479,0.457843,0.112803,0.281713,0.063327
480,0.375533,0.109803,0.20254,0.06319
481,0.453,0.106393,0.2849,0.061707
482,0.365817,0.10567,0.197161,0.062986
483,0.635894,0.111307,0.461353,0.063234
484,0.346384,0.107627,0.175747,0.06301
485,0.39569,0.106387,0.2257,0.063603
486,0.615334,0.10575,0.445324,0.06426
487,0.426173,0.1136,0.250253,0.06232
488,0.420154,0.10697,0.248714,0.06447
489,0.353496,0.13335,0.157053,0.063093
490,0.390286,0.1028,0.22477,0.062716
491,0.391266,0.104396,0.22554,0.06133
492,0.363809,0.111426,0.188333,0.06405
493,0.46142,0.1048,0.295123,0.061497
494,0.689584,0.11879,0.505884,0.06491
495,0.423828,0.10953,0.250894,0.063404
496,0.304768,0.10605,0.135937,0.062781
497,0.410414,0.099724,0.24967,0.06102
498,0.53587,0.10462,0.36735,0.0639
499,0.570378,0.104034,0.404764,0.06158
500,0.428041,0.11305,0.251311,0.06368
501,0.343758,0.099457,0.185114,0.059187
502,0.457856,0.102643,0.290553,0.06466
503,0.365127,0.113857,0.18746,0.06381
504,0.439053,0.122073,0.25544,0.06154
505,0.436646,0.106876,0.266547,0.063223
506,0.43299,0.11025,0.259627,0.063113
507,0.432627,0.10642,0.263214,0.062993
508,0.474316,0.106263,0.30406,0.063993
509,0.534924,0.10798,0.349324,0.07762
510,0.362729,0.070653,0.229783,0.062293
511,0.501627,0.112274,0.327877,0.061476
512,0.347427,0.111023,0.173464,0.06294
513,0.591937,0.096557,0.4351,0.06028
