backend,batch_size,graphs_in_batch,sample,N_total,E_total,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms,compute_ms_per_graph,transfer_ms_per_graph,e2e_ms_per_graph,graphs_per_s,nodes_per_s
gpu_eager,1,1,22,45,208,0.0353920012712478,0.2385919988155365,0.2899839878082275,1.299456000328064,0.0404799990355968,1.5380479991436005,0.0758720003068447,1.6139199994504452,1.5380479991436005,0.0758720003068447,1.6139199994504452,619.6093984463351,27882.42293008508
gpu_eager,1,1,23,51,454,0.0341759994626045,0.2365439981222152,0.291839987039566,1.2933119535446167,0.0420159995555877,1.529855951666832,0.0761919990181922,1.6060479506850245,1.529855951666832,0.0761919990181922,1.6060479506850245,622.6464157396248,31754.967202720865
gpu_eager,1,1,24,45,268,0.0343680009245872,0.2375680059194564,0.2979840040206909,1.2769279479980469,0.0414079986512661,1.5144959539175034,0.0757759995758533,1.5902719534933567,1.5144959539175034,0.0757759995758533,1.5902719534933567,628.823263721212,28297.04686745454
gpu_eager,1,1,25,54,284,0.0356479994952678,0.2375680059194564,0.2979840040206909,1.311743974685669,0.0414399988949298,1.5493119806051254,0.0770879983901977,1.6263999789953232,1.5493119806051254,0.0770879983901977,1.6263999789953232,614.8549021857037,33202.164718028
gpu_eager,1,1,26,34,106,0.0338240005075931,0.2426880002021789,0.2916480004787445,1.2738560438156128,0.0410559996962547,1.5165440440177915,0.0748800002038478,1.5914240442216396,1.5165440440177915,0.0748800002038478,1.5914240442216396,628.3680353020535,21364.51320026982
gpu_eager,1,1,27,50,446,0.0348480008542537,0.2416640073060989,0.2949120104312897,1.2810239791870115,0.0410879999399185,1.5226879864931109,0.0759360007941722,1.598623987287283,1.5226879864931109,0.0759360007941722,1.598623987287283,625.5379676223347,31276.89838111673
gpu_eager,1,1,28,70,1080,0.0357440002262592,0.2347200065851211,0.291839987039566,1.4120960235595703,0.0431040003895759,1.6468160301446917,0.0788480006158351,1.7256640307605269,1.6468160301446917,0.0788480006158351,1.7256640307605269,579.487074062316,40564.09518436212
gpu_eager,1,1,29,32,246,0.033984001725912,0.2365439981222152,0.2990080118179321,1.2850240468978882,0.0417600013315677,1.5215680450201037,0.0757440030574798,1.597312048077583,1.5215680450201037,0.0757440030574798,1.597312048077583,626.0517481249404,20033.65593999809
gpu_eager,1,1,30,33,146,0.0337600000202655,0.2365439981222152,0.2990080118179321,1.2738560438156128,0.041567999869585,1.510400041937828,0.0753279998898506,1.585728041827679,1.510400041937828,0.0753279998898506,1.585728041827679,630.6251599406793,20810.630278042416
gpu_eager,1,1,31,38,180,0.0342079997062683,0.2375680059194564,0.2948479950428009,1.2769279479980469,0.041567999869585,1.5144959539175034,0.0757759995758533,1.5902719534933567,1.5144959539175034,0.0757759995758533,1.5902719534933567,628.823263721212,23895.284021406056
gpu_eager,1,1,32,15,30,0.0335040017962455,0.2447360008955001,0.2813439965248108,1.277951955795288,0.0415039993822574,1.5226879566907885,0.075008001178503,1.5976959578692913,1.5226879566907885,0.075008001178503,1.5976959578692913,625.9013143737394,9388.519715606091
gpu_eager,1,1,33,20,86,0.033695999532938,0.2406399995088577,0.290719985961914,1.2902400493621826,0.0407040007412433,1.5308800488710403,0.0744000002741813,1.6052800491452217,1.5308800488710403,0.0744000002741813,1.6052800491452217,622.9442647919777,12458.885295839556
gpu_eager,1,1,34,18,54,0.0345599986612796,0.2373120039701461,0.2877439856529236,1.328320026397705,0.0423359982669353,1.5656320303678513,0.076895996928215,1.6425280272960665,1.5656320303678513,0.076895996928215,1.6425280272960665,608.8176173445287,10958.717112201515
gpu_eager,1,1,35,17,80,0.0334080010652542,0.2355200052261352,0.291839987039566,1.2933119535446167,0.0415359996259212,1.528831958770752,0.0749440006911754,1.6037759594619274,1.528831958770752,0.0749440006911754,1.6037759594619274,623.5284885648888,10599.98430560311
gpu_eager,1,1,36,27,146,0.0344959981739521,0.2365439981222152,0.2990080118179321,1.277951955795288,0.040863998234272,1.5144959539175034,0.0753599964082241,1.5898559503257277,1.5144959539175034,0.0753599964082241,1.5898559503257277,628.9878021937279,16982.670659230655
